Qe_sal_lw      SSA_sal_lw      g_sal_lw
  0.6963      0.3477      0.3725
  1.0673      0.4034      0.4478
  1.0739      0.3637      0.5528
  1.0294      0.3971      0.6314
  1.4798      0.4635      0.6203
  1.5755      0.4985      0.6404
  1.9118      0.4641      0.6254
  1.4356      0.3641      0.7135
  0.9243      0.4087      0.8102
  1.5216      0.6200      0.7809
  1.4343      0.7328      0.7917
  1.6673      0.8452      0.7658
  1.8789      0.9168      0.7331
  1.9596      0.9334      0.7236
  1.9985      0.9346      0.7228
  2.1078      0.8671      0.7400
