Qe_sal_sw      SSA_sal_sw      g_sal_sw
  2.0882      0.8330      0.7284
  2.2856      0.7869      0.7432
  2.4183      0.8642      0.7235
  2.5160      0.8890      0.7181
  2.5521      0.9045      0.7176
  2.5671      0.9229      0.7165
  2.5668      0.9335      0.7152
  2.5545      0.9398      0.7196
  2.5555      0.9285      0.7357
  2.5429      0.8882      0.7592
  2.5042      0.8061      0.7928
  2.4810      0.7175      0.8277
  2.4666      0.6812      0.8459
  1.7130      0.8034      0.7323
