Qe_sal_lw      SSA_sal_lw      g_sal_lw
  0.7015      0.3523      0.3696
  1.0728      0.4058      0.4407
  1.0827      0.3667      0.5465
  1.0373      0.4007      0.6288
  1.4737      0.4639      0.6128
  1.5740      0.4964      0.6299
  1.8742      0.4604      0.6145
  1.4244      0.3641      0.7084
  0.9319      0.4125      0.8097
  1.5250      0.6188      0.7743
  1.4617      0.7305      0.7824
  1.6840      0.8424      0.7521
  1.8645      0.9144      0.7166
  1.9288      0.9311      0.7060
  1.9564      0.9320      0.7043
  2.0461      0.8615      0.7210
