Qe_sal_sw      SSA_sal_sw      g_sal_sw
  2.1556      0.8397      0.7470
  2.3668      0.7943      0.7581
  2.5050      0.8682      0.7352
  2.6089      0.8917      0.7274
  2.6478      0.9067      0.7255
  2.6682      0.9245      0.7239
  2.6729      0.9346      0.7228
  2.6655      0.9407      0.7269
  2.6542      0.9295      0.7406
  2.6337      0.8918      0.7618
  2.6055      0.8156      0.7951
  2.5905      0.7310      0.8289
  2.5724      0.6954      0.8457
  1.7218      0.8054      0.7460
