Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
3.000      1.200      -30.000      0.071      35.074      977.291      980.359      -3.068      0.622
3.000      1.200      -27.500      0.073      34.384      984.375      987.358      -2.984      0.622
3.000      1.200      -25.000      0.075      33.425      994.513      997.395      -2.882      0.622
3.000      1.200      -22.500      0.075      32.177      1009.213      1012.011      -2.798      0.622
3.000      1.200      -20.000      0.074      30.616      1027.670      1030.388      -2.718      0.622
3.000      1.200      -17.500      0.073      28.723      1048.839      1051.468      -2.628      0.622
3.000      1.200      -15.000      0.071      26.705      1070.888      1073.450      -2.562      0.622
3.000      1.200      -12.500      0.072      28.185      1055.223      1057.840      -2.617      0.622
3.000      1.200      -10.000      0.073      29.744      1037.985      1040.669      -2.684      0.622
3.000      1.200      -7.500      0.074      31.142      1021.794      1024.544      -2.750      0.622
3.000      1.200      -5.000      0.073      32.364      1008.559      1011.403      -2.844      0.622
3.000      1.200      -2.500      0.072      33.408      996.978      999.909      -2.931      0.622
3.000      1.200      0.000      0.071      34.268      987.286      990.295      -3.009      0.622
3.000      1.200      2.500      0.071      34.940      978.967      982.026      -3.058      0.622
3.000      1.200      5.000      0.072      35.417      972.242      975.319      -3.078      0.622
3.000      1.200      7.500      0.073      35.691      968.037      971.119      -3.082      0.622
3.000      1.200      10.000      0.120      35.752      932.840      935.164      -2.324      0.622
3.000      1.200      12.500      0.131      35.588      926.733      928.869      -2.137      0.622
3.000      1.200      15.000      0.134      35.184      929.367      931.424      -2.057      0.622
3.000      1.200      17.500      0.125      34.522      943.943      946.089      -2.146      0.622
3.000      1.200      20.000      0.129      33.580      951.922      953.933      -2.012      0.622
3.000      1.200      22.500      0.134      32.332      962.185      964.028      -1.842      0.622
3.000      1.200      25.000      0.135      30.751      978.535      980.254      -1.720      0.622
3.000      1.200      27.500      0.132      28.810      1000.890      1002.539      -1.649      0.622
3.000      1.200      30.000      0.152      26.705      1004.832      1006.044      -1.212      0.622
3.000      1.200      32.500      0.152      28.092      991.820      993.107      -1.288      0.622
3.000      1.200      35.000      0.156      29.588      973.908      975.222      -1.313      0.622
3.000      1.200      37.500      0.185      30.950      937.123      938.078      -0.955      0.622
3.000      1.200      40.000      0.218      32.162      898.822      899.374      -0.552      0.622
3.000      1.200      42.500      0.167      33.215      927.088      928.480      -1.392      0.622
3.000      1.200      45.000      0.070      34.103      990.047      993.061      -3.014      0.622
3.000      1.200      47.500      0.071      34.819      980.473      983.522      -3.049      0.622
3.000      1.200      50.000      0.072      35.352      973.058      976.131      -3.073      0.622
3.000      3.100      -30.000      0.071      35.192      975.810      978.887      -3.077      0.622
3.000      3.100      -27.500      0.072      34.516      983.488      986.498      -3.010      0.622
3.000      3.100      -25.000      0.074      33.581      993.397      996.307      -2.910      0.622
3.000      3.100      -22.500      0.074      32.373      1007.699      1010.527      -2.828      0.622
3.000      3.100      -20.000      0.073      30.889      1025.404      1028.156      -2.751      0.622
3.000      3.100      -17.500      0.072      29.177      1044.845      1047.515      -2.670      0.622
3.000      3.100      -15.000      0.071      27.518      1062.810      1065.411      -2.601      0.622
3.000      3.100      -12.500      0.072      28.649      1050.409      1053.050      -2.641      0.622
3.000      3.100      -10.000      0.073      30.029      1034.898      1037.599      -2.701      0.622
3.000      3.100      -7.500      0.074      31.348      1019.469      1022.232      -2.762      0.622
3.000      3.100      -5.000      0.072      32.529      1007.401      1010.273      -2.872      0.622
3.000      3.100      -2.500      0.072      33.547      995.305      998.246      -2.941      0.622
3.000      3.100      0.000      0.070      34.391      986.514      989.548      -3.035      0.622
3.000      3.100      2.500      0.071      35.053      977.553      980.620      -3.067      0.622
3.000      3.100      5.000      0.072      35.524      970.888      973.973      -3.086      0.622
3.000      3.100      7.500      0.073      35.795      966.709      969.800      -3.090      0.622
3.000      3.100      10.000      0.105      35.857      942.548      945.120      -2.572      0.622
3.000      3.100      12.500      0.135      35.697      922.466      924.548      -2.083      0.622
3.000      3.100      15.000      0.131      35.301      930.189      932.302      -2.113      0.622
3.000      3.100      17.500      0.125      34.653      942.389      944.545      -2.157      0.622
3.000      3.100      20.000      0.144      33.734      938.787      940.574      -1.787      0.622
3.000      3.100      22.500      0.132      32.527      961.560      963.448      -1.888      0.622
3.000      3.100      25.000      0.128      31.023      981.120      982.970      -1.850      0.622
3.000      3.100      27.500      0.133      29.262      995.537      997.197      -1.660      0.622
3.000      3.100      30.000      0.144      27.518      1003.785      1005.169      -1.383      0.622
3.000      3.100      32.500      0.154      28.558      985.698      986.981      -1.283      0.622
3.000      3.100      35.000      0.183      29.875      949.511      950.424      -0.914      0.622
3.000      3.100      37.500      0.176      31.158      942.077      943.183      -1.106      0.622
3.000      3.100      40.000      0.178      32.328      928.237      929.396      -1.158      0.622
3.000      3.100      42.500      0.178      33.356      917.119      918.354      -1.235      0.622
3.000      3.100      45.000      0.193      34.228      896.075      897.155      -1.079      0.622
3.000      3.100      47.500      0.072      34.933      978.316      981.357      -3.041      0.622
3.000      3.100      50.000      0.073      35.459      970.970      974.034      -3.064      0.622
3.000      5.000      -30.000      0.071      35.432      972.782      975.878      -3.095      0.622
3.000      5.000      -27.500      0.071      34.783      980.917      983.964      -3.047      0.622
3.000      5.000      -25.000      0.073      33.891      990.396      993.344      -2.948      0.622
3.000      5.000      -22.500      0.073      32.753      1004.009      1006.879      -2.870      0.622
3.000      5.000      -20.000      0.073      31.386      1019.813      1022.595      -2.782      0.622
3.000      5.000      -17.500      0.071      29.863      1038.270      1040.995      -2.725      0.622
3.000      5.000      -15.000      0.071      28.367      1054.138      1056.782      -2.644      0.622
3.000      5.000      -12.500      0.071      29.350      1043.796      1046.492      -2.697      0.622
3.000      5.000      -10.000      0.074      30.545      1028.449      1031.162      -2.714      0.622
3.000      5.000      -7.500      0.150      31.747      956.192      957.741      -1.549      0.622
3.000      5.000      -5.000      0.100      32.856      982.285      984.713      -2.428      0.622
3.000      5.000      -2.500      0.118      33.828      957.350      959.555      -2.206      0.622
3.000      5.000      0.000      0.071      34.642      982.668      985.704      -3.036      0.622
3.000      5.000      2.500      0.071      35.284      974.648      977.732      -3.084      0.622
3.000      5.000      5.000      0.071      35.743      968.829      971.949      -3.119      0.622
3.000      5.000      7.500      0.136      36.010      917.942      920.035      -2.093      0.622
3.000      5.000      10.000      0.135      36.073      917.910      920.024      -2.114      0.622
3.000      5.000      12.500      0.135      35.920      919.764      921.865      -2.101      0.622
3.000      5.000      15.000      0.134      35.540      925.099      927.185      -2.085      0.622
3.000      5.000      17.500      0.130      34.918      935.509      937.608      -2.098      0.622
3.000      5.000      20.000      0.135      34.042      942.051      944.003      -1.951      0.622
3.000      5.000      22.500      0.123      32.904      964.207      966.265      -2.058      0.622
3.000      5.000      25.000      0.121      31.516      981.223      983.218      -1.995      0.622
3.000      5.000      27.500      0.122      29.945      997.239      999.118      -1.879      0.622
3.000      5.000      30.000      0.129      28.367      1007.698      1009.370      -1.673      0.622
3.000      5.000      32.500      0.157      29.261      976.374      977.652      -1.278      0.622
3.000      5.000      35.000      0.140      30.395      978.343      979.960      -1.617      0.622
3.000      5.000      37.500      0.146      31.561      961.301      962.900      -1.599      0.622
3.000      5.000      40.000      0.152      32.658      944.733      946.315      -1.582      0.622
3.000      5.000      42.500      0.214      33.640      886.448      887.172      -0.724      0.622
3.000      5.000      45.000      0.231      34.481      864.429      864.978      -0.549      0.622
3.000      5.000      47.500      0.253      35.166      840.376      840.676      -0.300      0.622
3.000      5.000      50.000      0.073      35.680      968.178      971.260      -3.081      0.622
3.000      6.900      -30.000      0.071      35.788      968.266      971.389      -3.123      0.622
3.000      6.900      -27.500      0.071      35.175      976.023      979.098      -3.076      0.622
3.000      6.900      -25.000      0.072      34.337      985.690      988.687      -2.997      0.622
3.000      6.900      -22.500      0.072      33.281      998.499      1001.421      -2.923      0.622
3.000      6.900      -20.000      0.071      32.031      1013.958      1016.815      -2.856      0.622
3.000      6.900      -17.500      0.071      30.653      1029.592      1032.363      -2.771      0.622
3.000      6.900      -15.000      0.071      29.251      1044.848      1047.539      -2.691      0.622
3.000      6.900      -12.500      0.075      30.156      1031.949      1034.622      -2.674      0.622
3.000      6.900      -10.000      0.149      31.215      962.655      964.183      -1.528      0.622
3.000      6.900      -7.500      0.163      32.301      940.143      941.529      -1.386      0.622
3.000      6.900      -5.000      0.149      33.326      939.603      941.281      -1.678      0.622
3.000      6.900      -2.500      0.162      34.240      919.406      920.953      -1.547      0.622
3.000      6.900      0.000      0.126      35.013      937.347      939.516      -2.169      0.622
3.000      6.900      2.500      0.155      35.628      908.512      910.280      -1.767      0.622
3.000      6.900      5.000      0.146      36.071      909.852      911.795      -1.943      0.622
3.000      6.900      7.500      0.137      36.330      913.298      915.403      -2.105      0.622
3.000      6.900      10.000      0.135      36.394      913.973      916.114      -2.141      0.622
3.000      6.900      12.500      0.133      36.253      917.175      919.335      -2.160      0.622
3.000      6.900      15.000      0.129      35.893      924.498      926.691      -2.193      0.622
3.000      6.900      17.500      0.130      35.307      930.863      932.992      -2.129      0.622
3.000      6.900      20.000      0.121      34.485      947.373      949.580      -2.207      0.622
3.000      6.900      22.500      0.116      33.428      963.518      965.726      -2.208      0.622
3.000      6.900      25.000      0.128      32.158      968.741      970.667      -1.926      0.622
3.000      6.900      27.500      0.129      30.733      983.437      985.251      -1.815      0.622
3.000      6.900      30.000      0.150      29.251      982.073      983.461      -1.387      0.622
3.000      6.900      32.500      0.152      30.070      972.213      973.619      -1.406      0.622
3.000      6.900      35.000      0.138      31.069      972.808      974.501      -1.693      0.622
