Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      -90.000      -177.500      0.799      66.365      202.363      203.707      -1.344      1.096
0.000      -90.000      -175.000      0.799      66.356      202.432      203.774      -1.342      1.096
0.000      -90.000      -172.500      0.799      66.347      202.499      203.839      -1.340      1.096
0.000      -90.000      -170.000      0.799      66.339      202.563      203.901      -1.339      1.096
0.000      -90.000      -167.500      0.799      66.332      202.622      203.959      -1.337      1.096
0.000      -90.000      -165.000      0.799      66.324      202.679      204.015      -1.336      1.096
0.000      -90.000      -162.500      0.799      66.318      202.733      204.068      -1.335      1.096
0.000      -90.000      -160.000      0.799      66.311      202.783      204.117      -1.333      1.096
0.000      -90.000      -157.500      0.799      66.305      202.829      204.162      -1.332      1.096
0.000      -90.000      -155.000      0.799      66.300      202.872      204.203      -1.331      1.096
0.000      -90.000      -152.500      0.799      66.295      202.911      204.241      -1.330      1.096
0.000      -90.000      -150.000      0.799      66.290      202.946      204.276      -1.330      1.096
0.000      -90.000      -147.500      0.799      66.286      202.978      204.306      -1.329      1.096
0.000      -90.000      -145.000      0.799      66.283      203.006      204.334      -1.328      1.096
0.000      -90.000      -142.500      0.799      66.280      203.030      204.357      -1.328      1.096
0.000      -90.000      -140.000      0.799      66.277      203.049      204.376      -1.327      1.096
0.000      -90.000      -137.500      0.799      66.275      203.066      204.392      -1.327      1.096
0.000      -90.000      -135.000      0.799      66.274      203.077      204.404      -1.326      1.096
0.000      -90.000      -132.500      0.799      66.273      203.085      204.411      -1.326      1.096
0.000      -90.000      -130.000      0.799      66.272      203.089      204.415      -1.326      1.096
0.000      -90.000      -127.500      0.799      66.272      203.089      204.415      -1.326      1.096
0.000      -90.000      -125.000      0.799      66.273      203.085      204.411      -1.326      1.096
0.000      -90.000      -122.500      0.799      66.274      203.077      204.403      -1.326      1.096
0.000      -90.000      -120.000      0.799      66.275      203.065      204.391      -1.327      1.096
0.000      -90.000      -117.500      0.799      66.277      203.049      204.376      -1.327      1.096
0.000      -90.000      -115.000      0.799      66.280      203.030      204.357      -1.328      1.096
0.000      -90.000      -112.500      0.799      66.283      203.006      204.334      -1.328      1.096
0.000      -90.000      -110.000      0.799      66.286      203.661      204.307      -0.647      1.096
0.000      -90.000      -107.500      0.799      66.290      202.948      204.277      -1.329      1.096
0.000      -90.000      -105.000      0.799      66.295      202.913      204.244      -1.330      1.096
0.000      -90.000      -177.500      0.799      66.365      202.363      203.707      -1.344      1.096
