Rs      SZA      Aerosol_net      Clear_net      Net_net
0.000      0.000      1266.111      1272.166      -6.055      0.700
0.000      10.000      1246.048      1252.187      -6.138      0.700
0.000      20.000      1186.466      1192.872      -6.406      0.700
0.000      30.000      1089.172      1096.080      -6.907      0.700
0.000      40.000      957.173      964.864      -7.692      0.700
0.000      50.000      794.669      803.431      -8.762      0.700
0.000      60.000      607.121      617.124      -10.003      0.700
0.000      70.000      401.609      412.625      -11.017      0.700
0.000      80.000      188.775      199.230      -10.455      0.700
0.000      90.000      0.000      0.000      0.000      0.700
0.100      0.000      1176.443      1178.974      -2.531      0.700
0.100      10.000      1157.865      1160.512      -2.647      0.700
0.100      20.000      1102.692      1105.701      -3.009      0.700
0.100      30.000      1012.591      1016.253      -3.662      0.700
0.100      40.000      890.336      894.983      -4.647      0.700
0.100      50.000      739.797      745.761      -5.963      0.700
0.100      60.000      565.995      573.498      -7.503      0.700
0.100      70.000      375.403      384.308      -8.905      0.700
0.100      80.000      177.633      186.597      -8.965      0.700
0.100      90.000      0.000      0.000      -0.000      0.700
0.200      0.000      1085.280      1084.531      0.749      0.700
0.200      10.000      1068.213      1067.607      0.606      0.700
0.200      20.000      1017.524      1017.363      0.161      0.700
0.200      30.000      934.740      935.363      -0.623      0.700
0.200      40.000      822.397      824.177      -1.781      0.700
0.200      50.000      684.027      687.337      -3.309      0.700
0.200      60.000      524.204      529.312      -5.109      0.700
0.200      70.000      348.782      355.639      -6.857      0.700
0.200      80.000      166.319      173.818      -7.499      0.700
0.200      90.000      0.000      0.000      -0.000      0.700
0.300      0.000      992.548      988.769      3.779      0.700
0.300      10.000      977.019      973.408      3.612      0.700
0.300      20.000      930.895      927.798      3.097      0.700
0.300      30.000      855.558      853.354      2.204      0.700
0.300      40.000      753.301      752.399      0.902      0.700
0.300      50.000      627.316      628.119      -0.803      0.700
0.300      60.000      481.716      484.538      -2.822      0.700
0.300      70.000      321.726      326.601      -4.874      0.700
0.300      80.000      154.827      160.883      -6.057      0.700
0.300      90.000      0.000      0.000      0.000      0.700
0.400      0.000      898.167      891.617      6.550      0.700
0.400      10.000      884.204      877.840      6.363      0.700
0.400      20.000      842.728      836.935      5.793      0.700
0.400      30.000      774.975      770.163      4.812      0.700
0.400      40.000      682.990      679.595      3.395      0.700
0.400      50.000      569.616      568.066      1.550      0.700
0.400      60.000      438.497      439.144      -0.647      0.700
0.400      70.000      294.215      297.173      -2.959      0.700
0.400      80.000      143.147      147.787      -4.640      0.700
0.400      90.000      0.000      0.000      0.000      0.700
0.500      0.000      802.044      792.990      9.054      0.700
0.500      10.000      789.677      780.824      8.853      0.700
0.500      20.000      752.939      744.699      8.240      0.700
0.500      30.000      692.915      685.721      7.193      0.700
0.500      40.000      611.398      605.705      5.694      0.700
0.500      50.000      510.874      507.129      3.745      0.700
0.500      60.000      394.508      393.094      1.414      0.700
0.500      70.000      266.225      267.336      -1.112      0.700
0.500      80.000      131.272      134.521      -3.249      0.700
0.500      90.000      0.000      0.000      0.000      0.700
0.600      0.000      704.080      692.798      11.282      0.700
0.600      10.000      693.341      682.270      11.071      0.700
0.600      20.000      661.435      651.004      10.430      0.700
0.600      30.000      609.293      599.951      9.342      0.700
0.600      40.000      538.453      530.662      7.790      0.700
0.600      50.000      451.032      445.253      5.779      0.700
0.600      60.000      349.708      346.351      3.356      0.700
0.600      70.000      237.730      237.066      0.664      0.700
0.600      80.000      119.190      121.074      -1.884      0.700
0.600      90.000      0.000      0.000      0.000      0.700
0.700      0.000      604.161      590.936      13.225      0.700
0.700      10.000      595.084      582.074      13.009      0.700
0.700      20.000      568.110      555.755      12.356      0.700
0.700      30.000      524.015      512.765      11.250      0.700
0.700      40.000      464.071      454.392      9.679      0.700
0.700      50.000      390.024      382.380      7.644      0.700
0.700      60.000      304.048      298.871      5.177      0.700
0.700      70.000      208.703      206.335      2.367      0.700
0.700      80.000      106.891      107.438      -0.547      0.700
0.700      90.000      0.000      0.000      0.000      0.700
0.800      0.000      502.160      487.287      14.873      0.700
0.800      10.000      494.780      480.123      14.657      0.700
0.800      20.000      472.847      458.841      14.006      0.700
0.800      30.000      436.973      424.065      12.909      0.700
0.800      40.000      388.162      376.810      11.353      0.700
0.800      50.000      327.776      318.440      9.336      0.700
0.800      60.000      257.476      250.604      6.873      0.700
0.800      70.000      179.110      175.115      3.995      0.700
0.800      80.000      94.362      93.599      0.763      0.700
0.800      90.000      0.000      0.000      0.000      0.700
0.900      0.000      397.930      381.715      16.215      0.700
0.900      10.000      392.287      376.282      16.005      0.700
0.900      20.000      375.510      360.137      15.373      0.700
0.900      30.000      348.046      333.737      14.309      0.700
0.900      40.000      310.621      297.818      12.803      0.700
0.900      50.000      264.205      253.356      10.849      0.700
0.900      60.000      209.932      201.494      8.438      0.700
0.900      70.000      148.917      143.372      5.545      0.700
0.900      80.000      81.588      79.544      2.044      0.700
0.900      90.000      0.000      0.000      0.000      0.700
1.000      0.000      291.303      274.064      17.240      0.700
1.000      10.000      287.440      270.399      17.041      0.700
1.000      20.000      275.943      259.499      16.444      0.700
1.000      30.000      257.091      241.650      15.441      0.700
1.000      40.000      231.327      217.304      14.024      0.700
1.000      50.000      199.215      187.038      12.176      0.700
1.000      60.000      161.345      151.476      9.869      0.700
1.000      70.000      118.081      111.065      7.015      0.700
1.000      80.000      68.554      65.259      3.295      0.700
1.000      90.000      0.000      0.000      0.000      0.700
