Rs      SZA      Aerosol_net      Clear_net      Net_net
0.000      0.000      1267.588      1272.166      -4.578
0.000      10.000      1247.548      1252.187      -4.639
0.000      20.000      1188.018      1192.872      -4.854
0.000      30.000      1090.776      1096.080      -5.304
0.000      40.000      958.781      964.864      -6.084
0.000      50.000      796.189      803.431      -7.242
0.000      60.000      608.425      617.124      -8.699
0.000      70.000      402.546      412.625      -10.079
0.000      80.000      189.170      199.230      -10.060
0.000      90.000      0.000      0.000      0.000
0.100      0.000      1176.150      1178.974      -2.824
0.100      10.000      1157.612      1160.512      -2.900
0.100      20.000      1102.544      1105.701      -3.157
0.100      30.000      1012.585      1016.253      -3.668
0.100      40.000      890.463      894.983      -4.520
0.100      50.000      740.006      745.761      -5.755
0.100      60.000      566.199      573.498      -7.299
0.100      70.000      375.501      384.308      -8.808
0.100      80.000      177.517      186.597      -9.081
0.100      90.000      0.000      0.000      -0.000
0.200      0.000      1083.213      1084.531      -1.317
0.200      10.000      1066.203      1067.607      -1.404
0.200      20.000      1015.672      1017.363      -1.691
0.200      30.000      933.119      935.363      -2.244
0.200      40.000      821.038      824.177      -3.140
0.200      50.000      682.919      687.337      -4.417
0.200      60.000      523.303      529.312      -6.009
0.200      70.000      348.034      355.639      -7.605
0.200      80.000      165.689      173.818      -8.129
0.200      90.000      0.000      0.000      -0.000
0.300      0.000      988.701      988.769      -0.068
0.300      10.000      973.246      973.408      -0.162
0.300      20.000      927.333      927.798      -0.465
0.300      30.000      852.316      853.354      -1.038
0.300      40.000      750.449      752.399      -1.950
0.300      50.000      624.885      628.119      -3.235
0.300      60.000      479.704      484.538      -4.834
0.300      70.000      320.127      326.601      -6.473
0.300      80.000      153.679      160.883      -7.205
0.300      90.000      0.000      0.000      0.000
0.400      0.000      892.531      891.617      0.914
0.400      10.000      878.659      877.840      0.819
0.400      20.000      837.447      836.935      0.512
0.400      30.000      770.103      770.163      -0.060
0.400      40.000      678.637      679.595      -0.958
0.400      50.000      565.853      568.066      -2.213
0.400      60.000      435.367      439.144      -3.777
0.400      70.000      291.759      297.173      -5.414
0.400      80.000      141.477      147.787      -6.310
0.400      90.000      0.000      0.000      0.000
0.500      0.000      794.610      792.990      1.620
0.500      10.000      782.351      780.824      1.527
0.500      20.000      745.929      744.699      1.230
0.500      30.000      686.403      685.721      0.682
0.500      40.000      605.534      605.705      -0.170
0.500      50.000      505.770      507.129      -1.359
0.500      60.000      390.251      393.094      -2.843
0.500      70.000      262.904      267.336      -4.432
0.500      80.000      129.075      134.521      -5.445
0.500      90.000      0.000      0.000      -0.000
0.600      0.000      694.834      692.798      2.036
0.600      10.000      684.220      682.270      1.950
0.600      20.000      652.682      651.004      1.678
0.600      30.000      601.129      599.951      1.179
0.600      40.000      531.065      530.662      0.403
0.600      50.000      444.576      445.253      -0.678
0.600      60.000      344.314      346.351      -2.038
0.600      70.000      233.538      237.066      -3.528
0.600      80.000      116.462      121.074      -4.612
0.600      90.000      0.000      0.000      0.000
0.700      0.000      593.086      590.936      2.150
0.700      10.000      584.152      582.074      2.077
0.700      20.000      557.600      555.755      1.845
0.700      30.000      514.183      512.765      1.418
0.700      40.000      455.146      454.392      0.754
