,,clear,aerosol,net difference
Rs,sza,,,
0,0,1272.166189,1268.754409,-3.41178
0,10,1252.186674,1248.731891,-3.454783
0,20,1192.87193,1189.25427,-3.61766
0,30,1096.079701,1092.090722,-3.988979
0,40,964.86434,960.189327,-4.675013
0,50,803.430624,797.687557,-5.743067
0,60,617.124185,609.981913,-7.142272
0,70,412.62544,404.071284,-8.554156
0,80,199.230099,190.408077,-8.822022
0,90,0.000037,0.000037,0
0.1,0,1178.97386,1177.449838,-1.524022
0.1,10,1160.511838,1158.927012,-1.584826
0.1,20,1105.700836,1103.902817,-1.798019
0.1,30,1016.253152,1014.009133,-2.244019
0.1,40,894.982841,891.963737,-3.019104
0.1,50,745.760553,741.57678,-4.183773
0.1,60,573.49823,567.807172,-5.691058
0.1,70,384.308255,377.05583,-7.252425
0.1,80,186.597439,178.771097,-7.826342
0.1,90,0.000036,0.000035,-0.000001
0.2,0,1084.530544,1084.698934,0.16839
0.2,10,1067.607362,1067.700421,0.093059
0.2,20,1017.363412,1017.202716,-0.160696
0.2,30,935.363357,934.697981,-0.665376
0.2,40,824.177293,822.669616,-1.507677
0.2,50,687.336546,684.594558,-2.741988
0.2,60,529.312334,524.986035,-4.326299
0.2,70,355.639092,349.635373,-6.003719
0.2,80,173.817542,166.966263,-6.851279
0.2,90,0.000035,0.000034,-0.000001
0.3,0,988.769499,990.429326,1.659827
0.3,10,973.4077,974.981043,1.573343
0.3,20,927.797652,929.086728,1.289076
0.3,30,853.354063,854.09627,0.742207
0.3,40,752.399181,752.254363,-0.144818
0.3,50,628.119476,626.698496,-1.42098
0.3,60,484.537955,481.487617,-3.050338
0.3,70,326.600507,321.79109,-4.809417
0.3,80,160.883394,154.986055,-5.897339
0.3,90,0.000033,0.000033,0
0.4,0,891.616854,894.561176,2.944322
0.4,10,877.840306,880.690474,2.850168
0.4,20,836.934946,839.4807,2.545754
0.4,30,770.163047,772.136754,1.973707
0.4,40,679.594873,680.66003,1.065157
0.4,50,568.066135,567.841929,-0.224206
0.4,60,439.143615,437.277965,-1.86565
0.4,70,297.173303,293.502331,-3.670972
0.4,80,147.787297,142.822243,-4.965054
0.4,90,0.000032,0.000032,0
0.5,0,792.990395,797.005936,4.015541
0.5,10,780.824453,784.741763,3.91731
0.5,20,744.698962,748.302415,3.603453
0.5,30,685.721117,688.744907,3.02379
0.5,40,605.704767,607.822435,2.117668
0.5,50,507.128548,507.973227,0.844679
0.5,60,393.094419,392.319571,-0.774848
0.5,70,267.336247,264.746332,-2.589915
0.5,80,134.520758,130.465774,-4.054984
0.5,90,0.000031,0.00003,-0.000001
0.6,0,692.798071,697.664813,4.866742
0.6,10,682.269758,687.037907,4.768149
0.6,20,651.004259,655.460175,4.455916
0.6,30,599.950857,603.837648,3.886791
0.6,40,530.662229,533.670079,3.00785
0.6,50,445.253141,447.034934,1.781793
0.6,60,346.351462,346.570761,0.219299
0.6,70,237.065722,235.497861,-1.567861
0.6,80,121.074356,117.906641,-3.167715
0.6,90,0.000029,0.000029,0
0.7,0,590.936114,596.426845,5.490731
0.7,10,582.074343,587.469965,5.395622
0.7,20,555.75456,560.851024,5.096464
0.7,30,512.765075,517.321741,4.556666
0.7,40,454.392267,458.122791,3.730524
0.7,50,382.379688,384.962702,2.583014
0.7,60,298.871085,299.98494,1.113855
0.7,70,206.335295,205.728776,-0.606519
0.7,80,107.437584,105.133713,-2.303871
0.7,90,0.000028,0.000028,0
0.8,0,487.286657,493.166469,5.879812
0.8,10,480.122501,485.914672,5.792171
0.8,20,458.840546,464.358505,5.517959
0.8,30,424.064822,429.091782,5.02696
0.8,40,376.809846,381.090008,4.280162
0.8,50,318.439987,321.683931,3.243944
0.8,60,250.603938,252.509642,1.905704
0.8,70,175.115172,175.407476,0.292304
0.8,80,93.598634,92.134526,-1.464108
0.8,90,0.000027,0.000027,0
0.9,0,381.714656,387.740383,6.025727
0.9,10,376.281671,382.231367,5.949696
0.9,20,360.13702,365.849769,5.712749
0.9,30,333.736841,339.027601,5.29076
0.9,40,297.817726,302.468577,4.650851
0.9,50,253.356152,257.116043,3.759891
0.9,60,201.493784,204.085304,2.59152
0.9,70,143.371503,144.498191,1.126688
0.9,80,79.544143,78.895022,-0.649121
0.9,90,0.000025,0.000025,0
1,0,274.063861,279.98346,5.919599
1,10,270.398502,276.257977,5.859475
1,20,259.499196,265.1718,5.672604
1,30,241.650237,246.990871,5.340634
1,40,217.303632,222.139878,4.836246
1,50,187.038385,191.16422,4.125835
1,60,151.475926,154.64369,3.167764
1,70,111.065481,112.960076,1.894595
1,80,65.258854,65.399205,0.140351
1,90,0.000024,0.000024,0
