Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      -90.000      -177.500      0.799      66.365      204.605      203.707      0.898      0.622
0.000      -90.000      -175.000      0.799      66.356      204.674      203.774      0.900      0.622
0.000      -90.000      -172.500      0.799      66.347      204.740      203.839      0.901      0.622
0.000      -90.000      -170.000      0.799      66.339      204.804      203.901      0.902      0.622
0.000      -90.000      -167.500      0.799      66.332      204.863      203.959      0.904      0.622
0.000      -90.000      -165.000      0.799      66.324      204.920      204.015      0.905      0.622
0.000      -90.000      -162.500      0.799      66.318      204.973      204.068      0.906      0.622
0.000      -90.000      -160.000      0.799      66.311      205.023      204.117      0.907      0.622
0.000      -90.000      -157.500      0.799      66.305      205.070      204.162      0.908      0.622
0.000      -90.000      -155.000      0.799      66.300      205.112      204.203      0.909      0.622
0.000      -90.000      -152.500      0.799      66.295      205.151      204.241      0.910      0.622
0.000      -90.000      -150.000      0.799      66.290      205.186      204.276      0.910      0.622
0.000      -90.000      -147.500      0.799      66.286      205.217      204.306      0.911      0.622
0.000      -90.000      -145.000      0.799      66.283      205.246      204.334      0.912      0.622
0.000      -90.000      -142.500      0.799      66.280      205.269      204.357      0.912      0.622
0.000      -90.000      -140.000      0.799      66.277      205.289      204.376      0.913      0.622
0.000      -90.000      -137.500      0.799      66.275      205.305      204.392      0.913      0.622
0.000      -90.000      -135.000      0.799      66.274      205.317      204.404      0.913      0.622
0.000      -90.000      -132.500      0.799      66.273      205.325      204.411      0.913      0.622
0.000      -90.000      -130.000      0.799      66.272      205.329      204.415      0.913      0.622
0.000      -90.000      -127.500      0.799      66.272      205.329      204.415      0.913      0.622
0.000      -90.000      -125.000      0.799      66.273      205.325      204.411      0.913      0.622
0.000      -90.000      -122.500      0.799      66.274      205.316      204.403      0.913      0.622
0.000      -90.000      -120.000      0.799      66.275      205.304      204.391      0.913      0.622
0.000      -90.000      -117.500      0.799      66.277      205.289      204.376      0.913      0.622
0.000      -90.000      -115.000      0.799      66.280      205.269      204.357      0.912      0.622
0.000      -90.000      -112.500      0.799      66.283      205.246      204.334      0.912      0.622
0.000      -90.000      -110.000      0.799      66.286      205.218      204.307      0.911      0.622
0.000      -90.000      -107.500      0.799      66.290      205.188      204.277      0.910      0.622
0.000      -90.000      -105.000      0.799      66.295      205.153      204.244      0.910      0.622
0.000      -90.000      -102.500      0.799      66.299      205.115      204.206      0.909      0.622
0.000      -90.000      -100.000      0.799      66.305      205.074      204.166      0.908      0.622
0.000      -90.000      -97.500      0.799      66.311      205.029      204.122      0.907      0.622
0.000      -90.000      -95.000      0.799      66.317      204.980      204.074      0.906      0.622
0.000      -90.000      -92.500      0.799      66.323      204.929      204.024      0.905      0.622
0.000      -90.000      -90.000      0.799      66.330      204.874      203.970      0.904      0.622
0.000      -90.000      -87.500      0.799      66.338      204.817      203.914      0.903      0.622
0.000      -90.000      -85.000      0.799      66.345      204.757      203.855      0.901      0.622
0.000      -90.000      -82.500      0.799      66.353      204.693      203.793      0.900      0.622
0.000      -90.000      -80.000      0.799      66.362      204.627      203.728      0.899      0.622
0.000      -90.000      -77.500      0.799      66.371      204.559      203.661      0.897      0.622
0.000      -90.000      -75.000      0.799      66.380      204.487      203.592      0.896      0.622
0.000      -90.000      -72.500      0.799      66.389      204.414      203.520      0.894      0.622
0.000      -90.000      -70.000      0.799      66.399      204.338      203.446      0.892      0.622
0.000      -90.000      -67.500      0.799      66.409      204.261      203.370      0.891      0.622
0.000      -90.000      -65.000      0.799      66.419      204.181      203.292      0.889      0.622
0.000      -90.000      -62.500      0.799      66.429      204.100      203.212      0.887      0.622
0.000      -90.000      -60.000      0.799      66.440      204.017      203.131      0.886      0.622
0.000      -90.000      -57.500      0.799      66.451      203.933      203.049      0.884      0.622
0.000      -90.000      -55.000      0.799      66.461      203.847      202.964      0.882      0.622
0.000      -90.000      -52.500      0.799      66.473      203.760      202.879      0.880      0.622
0.000      -90.000      -50.000      0.799      66.484      203.672      202.793      0.878      0.622
0.000      -90.000      -47.500      0.799      66.495      203.582      202.706      0.877      0.622
0.000      -90.000      -45.000      0.799      66.507      203.493      202.618      0.875      0.622
0.000      -90.000      -42.500      0.799      66.518      203.403      202.530      0.873      0.622
0.000      -90.000      -40.000      0.799      66.530      203.312      202.441      0.871      0.622
0.000      -90.000      -37.500      0.799      66.541      203.221      202.352      0.869      0.622
0.000      -90.000      -35.000      0.799      66.553      203.130      202.263      0.867      0.622
0.000      -90.000      -32.500      0.799      66.564      203.039      202.174      0.865      0.622
0.000      -90.000      -30.000      0.799      66.576      202.948      202.085      0.863      0.622
