Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      1.200      -30.000      0.071      43.285      864.267      868.082      -3.815      0.622
0.000      1.200      -27.500      0.072      42.958      868.490      872.255      -3.765      0.622
0.000      1.200      -25.000      0.073      42.499      874.621      878.321      -3.700      0.622
0.000      1.200      -22.500      0.073      41.901      883.362      887.000      -3.639      0.622
0.000      1.200      -20.000      0.072      41.156      894.790      898.370      -3.580      0.622
0.000      1.200      -17.500      0.070      40.251      909.010      912.534      -3.525      0.622
0.000      1.200      -15.000      0.070      39.398      920.939      924.384      -3.445      0.622
0.000      1.200      -12.500      0.071      40.013      911.679      915.165      -3.486      0.622
0.000      1.200      -10.000      0.070      40.664      903.166      906.730      -3.564      0.622
0.000      1.200      -7.500      0.070      41.271      894.480      898.104      -3.624      0.622
0.000      1.200      -5.000      0.070      41.828      886.423      890.102      -3.679      0.622
0.000      1.200      -2.500      0.069      42.325      879.803      883.549      -3.746      0.622
0.000      1.200      0.000      0.069      42.755      873.465      877.256      -3.791      0.622
0.000      1.200      2.500      0.069      43.106      868.244      872.073      -3.828      0.622
0.000      1.200      5.000      0.069      43.369      864.312      868.168      -3.856      0.622
0.000      1.200      7.500      0.069      43.534      861.828      865.702      -3.874      0.622
0.000      1.200      10.000      0.118      43.593      829.315      832.429      -3.114      0.622
0.000      1.200      12.500      0.129      43.537      822.984      825.924      -2.940      0.622
0.000      1.200      15.000      0.124      43.358      828.803      831.799      -2.996      0.622
0.000      1.200      17.500      0.118      43.048      837.169      840.222      -3.054      0.622
0.000      1.200      20.000      0.120      42.597      842.276      845.250      -2.974      0.622
0.000      1.200      22.500      0.126      41.996      846.744      849.561      -2.817      0.622
0.000      1.200      25.000      0.129      41.233      855.289      857.980      -2.691      0.622
0.000      1.200      27.500      0.127      40.290      869.471      872.097      -2.625      0.622
0.000      1.200      30.000      0.143      39.398      870.211      872.503      -2.292      0.622
0.000      1.200      32.500      0.147      39.972      859.904      862.192      -2.288      0.622
0.000      1.200      35.000      0.155      40.576      846.409      848.637      -2.228      0.622
0.000      1.200      37.500      0.186      41.155      817.564      819.396      -1.832      0.622
0.000      1.200      40.000      0.212      41.699      792.776      794.295      -1.519      0.622
0.000      1.200      42.500      0.159      42.201      821.883      824.224      -2.341      0.622
0.000      1.200      45.000      0.072      42.646      873.103      876.835      -3.732      0.622
0.000      1.200      47.500      0.073      43.025      866.841      870.596      -3.756      0.622
0.000      1.200      50.000      0.075      43.325      861.082      864.838      -3.756      0.622
0.000      3.100      -30.000      0.071      44.339      848.366      852.296      -3.931      0.622
0.000      3.100      -27.500      0.071      43.997      853.559      857.452      -3.893      0.622
0.000      3.100      -25.000      0.071      43.520      860.754      864.594      -3.841      0.622
0.000      3.100      -22.500      0.071      42.898      870.028      873.802      -3.774      0.622
0.000      3.100      -20.000      0.071      42.122      881.467      885.161      -3.693      0.622
0.000      3.100      -17.500      0.070      41.175      895.853      899.467      -3.614      0.622
0.000      3.100      -15.000      0.070      40.734      902.170      905.741      -3.571      0.622
0.000      3.100      -12.500      0.070      41.200      895.501      899.118      -3.617      0.622
0.000      3.100      -10.000      0.070      41.849      886.104      889.786      -3.682      0.622
0.000      3.100      -7.500      0.070      42.450      877.311      881.054      -3.743      0.622
0.000      3.100      -5.000      0.069      42.996      869.881      873.698      -3.817      0.622
0.000      3.100      -2.500      0.069      43.480      862.640      866.508      -3.868      0.622
0.000      3.100      0.000      0.069      43.894      856.396      860.309      -3.913      0.622
0.000      3.100      2.500      0.068      44.229      851.948      855.914      -3.966      0.622
0.000      3.100      5.000      0.068      44.475      848.179      852.173      -3.994      0.622
0.000      3.100      7.500      0.069      44.625      845.259      849.253      -3.994      0.622
0.000      3.100      10.000      0.105      44.668      821.851      825.288      -3.436      0.622
0.000      3.100      12.500      0.133      44.596      805.119      808.121      -3.002      0.622
0.000      3.100      15.000      0.124      44.400      813.722      816.837      -3.115      0.622
0.000      3.100      17.500      0.116      44.070      823.662      826.861      -3.199      0.622
0.000      3.100      20.000      0.123      43.596      826.024      829.062      -3.038      0.622
0.000      3.100      22.500      0.123      42.966      835.053      838.021      -2.968      0.622
0.000      3.100      25.000      0.124      42.165      845.723      848.589      -2.866      0.622
0.000      3.100      27.500      0.129      41.171      856.129      858.813      -2.684      0.622
0.000      3.100      30.000      0.130      40.734      861.412      864.036      -2.624      0.622
0.000      3.100      32.500      0.132      41.204      853.650      856.291      -2.642      0.622
0.000      3.100      35.000      0.186      41.801      809.083      810.985      -1.902      0.622
0.000      3.100      37.500      0.178      42.368      806.918      808.999      -2.081      0.622
0.000      3.100      40.000      0.180      42.896      798.452      800.563      -2.111      0.622
0.000      3.100      42.500      0.173      43.378      796.488      798.756      -2.268      0.622
0.000      3.100      45.000      0.190      43.803      779.535      781.607      -2.073      0.622
0.000      3.100      47.500      0.073      44.161      849.805      853.684      -3.879      0.622
0.000      3.100      50.000      0.075      44.438      844.315      848.194      -3.878      0.622
0.000      5.000      -30.000      0.071      45.417      831.789      835.842      -4.053      0.622
0.000      5.000      -27.500      0.071      45.058      837.345      841.357      -4.012      0.622
0.000      5.000      -25.000      0.071      44.559      845.000      848.955      -3.955      0.622
0.000      5.000      -22.500      0.071      43.911      854.856      858.739      -3.883      0.622
0.000      5.000      -20.000      0.071      43.100      867.032      870.827      -3.796      0.622
0.000      5.000      -17.500      0.070      42.108      882.328      886.036      -3.708      0.622
0.000      5.000      -15.000      0.070      42.091      882.575      886.282      -3.706      0.622
0.000      5.000      -12.500      0.070      42.405      877.969      881.707      -3.739      0.622
0.000      5.000      -10.000      0.072      43.055      867.058      870.833      -3.775      0.622
0.000      5.000      -7.500      0.149      43.650      808.379      811.031      -2.653      0.622
0.000      5.000      -5.000      0.097      44.187      834.109      837.614      -3.505      0.622
0.000      5.000      -2.500      0.118      44.659      813.738      816.974      -3.236      0.622
0.000      5.000      0.000      0.070      45.059      837.947      841.975      -4.028      0.622
0.000      5.000      2.500      0.069      45.379      833.616      837.696      -4.080      0.622
0.000      5.000      5.000      0.068      45.610      830.636      834.759      -4.123      0.622
0.000      5.000      7.500      0.137      45.744      785.760      788.841      -3.080      0.622
0.000      5.000      10.000      0.138      45.770      784.742      787.811      -3.068      0.622
0.000      5.000      12.500      0.125      45.681      794.170      797.422      -3.252      0.622
0.000      5.000      15.000      0.112      45.466      805.502      808.925      -3.423      0.622
0.000      5.000      17.500      0.112      45.114      810.771      814.152      -3.381      0.622
0.000      5.000      20.000      0.108      44.614      820.750      824.134      -3.384      0.622
0.000      5.000      22.500      0.114      43.951      826.689      829.905      -3.216      0.622
0.000      5.000      25.000      0.118      43.107      836.316      839.376      -3.060      0.622
0.000      5.000      27.500      0.117      42.060      851.858      854.820      -2.962      0.622
0.000      5.000      30.000      0.118      42.091      850.746      853.696      -2.950      0.622
0.000      5.000      32.500      0.141      42.456      830.361      833.000      -2.639      0.622
0.000      5.000      35.000      0.144      43.047      820.135      822.794      -2.659      0.622
0.000      5.000      37.500      0.144      43.602      812.306      815.028      -2.722      0.622
0.000      5.000      40.000      0.146      44.116      803.703      806.454      -2.752      0.622
0.000      5.000      42.500      0.222      44.581      748.208      749.925      -1.716      0.622
0.000      5.000      45.000      0.239      44.987      731.811      733.345      -1.534      0.622
0.000      5.000      47.500      0.254      45.323      717.712      719.087      -1.375      0.622
0.000      5.000      50.000      0.076      45.579      826.163      830.156      -3.993      0.622
0.000      6.900      -30.000      0.071      46.515      814.576      818.758      -4.183      0.622
0.000      6.900      -27.500      0.070      46.137      821.154      825.307      -4.153      0.622
0.000      6.900      -25.000      0.070      45.615      829.329      833.421      -4.092      0.622
0.000      6.900      -22.500      0.071      44.937      839.211      843.209      -3.998      0.622
0.000      6.900      -20.000      0.071      44.087      852.195      856.098      -3.903      0.622
0.000      6.900      -17.500      0.070      43.241      865.570      869.396      -3.827      0.622
0.000      6.900      -15.000      0.070      43.468      862.168      866.019      -3.851      0.622
0.000      6.900      -12.500      0.075      43.692      855.591      859.387      -3.796      0.622
0.000      6.900      -10.000      0.141      44.277      804.618      807.463      -2.845      0.622
0.000      6.900      -7.500      0.146      44.868      792.898      795.738      -2.840      0.622
0.000      6.900      -5.000      0.136      45.398      791.488      794.541      -3.053      0.622
0.000      6.900      -2.500      0.149      45.860      776.571      779.488      -2.917      0.622
0.000      6.900      0.000      0.116      46.247      791.219      794.676      -3.457      0.622
0.000      6.900      2.500      0.150      46.553      765.723      768.712      -2.989      0.622
0.000      6.900      5.000      0.149      46.769      763.126      766.157      -3.031      0.622
0.000      6.900      7.500      0.136      46.886      769.301      772.539      -3.237      0.622
0.000      6.900      10.000      0.126      46.896      775.241      778.628      -3.387      0.622
0.000      6.900      12.500      0.130      46.788      774.442      777.756      -3.314      0.622
0.000      6.900      15.000      0.126      46.552      780.457      783.802      -3.344      0.622
0.000      6.900      17.500      0.118      46.176      791.062      794.481      -3.418      0.622
0.000      6.900      20.000      0.112      45.647      802.780      806.224      -3.445      0.622
0.000      6.900      22.500      0.112      44.947      813.267      816.629      -3.362      0.622
0.000      6.900      25.000      0.120      44.057      821.289      824.425      -3.136      0.622
0.000      6.900      27.500      0.128      43.167      828.915      831.829      -2.914      0.622
0.000      6.900      30.000      0.142      43.468      815.501      818.238      -2.737      0.622
0.000      6.900      32.500      0.138      43.769      813.834      816.665      -2.831      0.622
0.000      6.900      35.000      0.128      44.310      812.471      815.515      -3.044      0.622
0.000      6.900      37.500      0.157      44.856      786.082      788.759      -2.677      0.622
0.000      6.900      40.000      0.170      45.357      770.675      773.223      -2.548      0.622
0.000      6.900      42.500      0.219      45.805      733.451      735.363      -1.911      0.622
0.000      6.900      45.000      0.190      46.193      746.204      748.570      -2.366      0.622
0.000      6.900      47.500      0.281      46.510      684.939      686.113      -1.174      0.622
0.000      6.900      50.000      0.080      46.745      805.495      809.565      -4.070      0.622
0.000      8.800      -30.000      0.071      47.631      796.769      801.088      -4.319      0.622
0.000      8.800      -27.500      0.071      47.231      803.190      807.459      -4.269      0.622
0.000      8.800      -25.000      0.071      46.682      811.927      816.129      -4.203      0.622
0.000      8.800      -22.500      0.071      45.971      823.139      827.257      -4.118      0.622
0.000      8.800      -20.000      0.071      45.080      837.002      841.017      -4.014      0.622
0.000      8.800      -17.500      0.071      44.641      843.754      847.718      -3.964      0.622
0.000      8.800      -15.000      0.071      44.864      840.328      844.318      -3.990      0.622
0.000      8.800      -12.500      0.131      45.080      799.303      802.392      -3.090      0.622
0.000      8.800      -10.000      0.128      45.514      794.776      797.963      -3.187      0.622
0.000      8.800      -7.500      0.125      46.103      787.846      791.150      -3.304      0.622
0.000      8.800      -5.000      0.137      46.626      772.606      775.796      -3.190      0.622
0.000      8.800      -2.500      0.129      47.079      770.636      774.002      -3.366      0.622
0.000      8.800      0.000      0.140      47.455      758.275      761.527      -3.251      0.622
0.000      8.800      2.500      0.137      47.748      755.618      758.952      -3.333      0.622
0.000      8.800      5.000      0.146      47.949      747.175      750.403      -3.228      0.622
0.000      8.800      7.500      0.157      48.050      739.083      742.164      -3.081      0.622
0.000      8.800      10.000      0.186      48.042      721.876      724.542      -2.666      0.622
0.000      8.800      12.500      0.180      47.914      727.356      730.089      -2.733      0.622
0.000      8.800      15.000      0.158      47.656      744.419      747.433      -3.014      0.622
0.000      8.800      17.500      0.159      47.253      749.832      752.779      -2.947      0.622
0.000      8.800      20.000      0.129      46.691      776.526      779.843      -3.317      0.622
0.000      8.800      22.500      0.135      45.951      783.927      787.063      -3.135      0.622
0.000      8.800      25.000      0.141      45.011      794.005      796.937      -2.932      0.622
0.000      8.800      27.500      0.185      44.569      772.227      774.463      -2.236      0.622
0.000      8.800      30.000      0.151      44.864      789.784      792.550      -2.766      0.622
0.000      8.800      32.500      0.148      45.155      787.479      790.325      -2.845      0.622
0.000      8.800      35.000      0.142      45.590      784.899      787.886      -2.987      0.622
0.000      8.800      37.500      0.170      46.127      759.601      762.245      -2.644      0.622
0.000      8.800      40.000      0.163      46.616      756.807      759.614      -2.807      0.622
0.000      8.800      42.500      0.174      47.049      743.709      746.414      -2.705      0.622
0.000      8.800      45.000      0.279      47.419      674.121      675.444      -1.323      0.622
0.000      8.800      47.500      0.331      47.717      638.163      638.872      -0.709      0.622
0.000      8.800      50.000      0.297      47.931      656.271      657.434      -1.163      0.622
0.000      10.700      -30.000      0.072      48.762      777.834      782.280      -4.446      0.622
0.000      10.700      -27.500      0.072      48.338      784.751      789.144      -4.392      0.622
0.000      10.700      -25.000      0.071      47.760      794.698      799.033      -4.335      0.622
0.000      10.700      -22.500      0.071      47.012      806.687      810.929      -4.243      0.622
0.000      10.700      -20.000      0.071      46.075      821.508      825.638      -4.130      0.622
0.000      10.700      -17.500      0.072      46.057      821.174      825.286      -4.112      0.622
0.000      10.700      -15.000      0.073      46.276      817.124      821.247      -4.123      0.622
0.000      10.700      -12.500      0.131      46.486      778.398      781.659      -3.261      0.622
0.000      10.700      -10.000      0.127      46.765      776.618      779.974      -3.356      0.622
0.000      10.700      -7.500      0.135      47.352      762.850      766.162      -3.312      0.622
0.000      10.700      -5.000      0.157      47.870      741.796      744.854      -3.057      0.622
0.000      10.700      -2.500      0.155      48.315      736.267      739.412      -3.145      0.622
0.000      10.700      0.000      0.162      48.680      726.585      729.679      -3.094      0.622
0.000      10.700      2.500      0.148      48.960      730.502      733.836      -3.334      0.622
0.000      10.700      5.000      0.161      49.147      720.059      723.230      -3.172      0.622
0.000      10.700      7.500      0.166      49.232      715.854      718.966      -3.112      0.622
0.000      10.700      10.000      0.200      49.205      696.426      699.055      -2.630      0.622
0.000      10.700      12.500      0.196      49.056      700.973      703.638      -2.664      0.622
0.000      10.700      15.000      0.212      48.773      695.705      698.109      -2.404      0.622
0.000      10.700      17.500      0.146      48.341      741.194      744.474      -3.280      0.622
0.000      10.700      20.000      0.143      47.743      752.096      755.341      -3.245      0.622
0.000      10.700      22.500      0.154      46.960      757.235      760.217      -2.982      0.622
0.000      10.700      25.000      0.166      45.964      764.445      767.126      -2.681      0.622
0.000      10.700      27.500      0.177      45.987      757.252      759.778      -2.526      0.622
0.000      10.700      30.000      0.158      46.276      764.869      767.706      -2.837      0.622
0.000      10.700      32.500      0.152      46.558      764.418      767.378      -2.960      0.622
0.000      10.700      35.000      0.151      46.885      760.181      763.197      -3.016      0.622
0.000      10.700      37.500      0.157      47.413      748.647      751.644      -2.997      0.622
0.000      10.700      40.000      0.149      47.891      746.268      749.445      -3.176      0.622
0.000      10.700      42.500      0.209      48.310      704.203      706.584      -2.381      0.622
0.000      10.700      45.000      0.259      48.664      669.303      671.059      -1.756      0.622
0.000      10.700      47.500      0.323      48.942      627.205      628.186      -0.981      0.622
0.000      10.700      50.000      0.329      49.136      621.084      622.019      -0.935      0.622
0.000      12.600      -30.000      0.073      49.903      758.425      763.006      -4.580      0.622
