Rs      SZA      Aerosol_net      Clear_net      Net_net
0.000      0.000      1275.103      1272.166      2.936
0.000      10.000      1255.134      1252.187      2.947
0.000      20.000      1195.849      1192.872      2.977
0.000      30.000      1099.100      1096.080      3.020
0.000      40.000      967.931      964.864      3.067
0.000      50.000      806.534      803.431      3.103
0.000      60.000      620.231      617.124      3.106
0.000      70.000      415.654      412.625      3.028
0.000      80.000      201.904      199.230      2.674
0.000      90.000      0.000      0.000      0.000
0.100      0.000      1194.626      1178.974      15.652
0.100      10.000      1176.031      1160.512      15.520
0.100      20.000      1120.824      1105.701      15.123
0.100      30.000      1030.718      1016.253      14.465
0.100      40.000      908.532      894.983      13.549
0.100      50.000      758.135      745.761      12.374
0.100      60.000      584.420      573.498      10.921
0.100      70.000      393.416      384.308      9.108
0.100      80.000      193.132      186.597      6.535
0.100      90.000      0.000      0.000      0.000
0.200      0.000      1113.233      1084.531      28.703
0.200      10.000      1096.029      1067.607      28.422
0.200      20.000      1044.948      1017.363      27.585
0.200      30.000      961.565      935.363      26.202
0.200      40.000      848.468      824.177      24.291
0.200      50.000      709.200      687.337      21.864
0.200      60.000      548.219      529.312      18.907
0.200      70.000      370.944      355.639      15.305
0.200      80.000      184.270      173.818      10.453
0.200      90.000      0.000      0.000      0.000
0.300      0.000      1030.882      988.769      42.113
0.300      10.000      1015.087      973.408      41.679
0.300      20.000      968.182      927.798      40.385
0.300      30.000      891.605      853.354      38.251
0.300      40.000      787.709      752.399      35.309
0.300      50.000      659.706      628.119      31.586
0.300      60.000      511.613      484.538      27.075
0.300      70.000      348.227      326.601      21.626
0.300      80.000      175.315      160.883      14.431
0.300      90.000      0.000      0.000      0.000
0.400      0.000      947.527      891.617      55.910
0.400      10.000      933.158      877.840      55.317
0.400      20.000      890.484      836.935      53.549
0.400      30.000      820.800      770.163      50.637
0.400      40.000      726.221      679.595      46.626
0.400      50.000      609.626      568.066      41.560
0.400      60.000      474.581      439.144      35.438
0.400      70.000      325.254      297.173      28.080
0.400      80.000      166.261      147.787      18.474
0.400      90.000      0.000      0.000      0.000
0.500      0.000      863.118      792.990      70.127
0.500      10.000      850.193      780.824      69.369
0.500      20.000      811.807      744.699      67.108
0.500      30.000      749.107      685.721      63.386
0.500      40.000      663.969      605.705      58.265
0.500      50.000      558.932      507.129      51.803
0.500      60.000      437.105      393.094      44.010
0.500      70.000      302.013      267.336      34.676
0.500      80.000      157.106      134.521      22.585
0.500      90.000      0.000      0.000      0.000
0.600      0.000      777.598      692.798      84.800
0.600      10.000      766.139      682.270      83.869
0.600      20.000      732.099      651.004      81.095
0.600      30.000      676.481      599.951      76.530
0.600      40.000      600.914      530.662      70.252
0.600      50.000      507.592      445.253      62.339
0.600      60.000      399.161      346.351      52.809
0.600      70.000      278.491      237.066      41.425
0.600      80.000      147.843      121.074      26.769
0.600      90.000      0.000      0.000      0.000
0.700      0.000      690.907      590.936      99.971
0.700      10.000      680.934      582.074      98.860
0.700      20.000      651.304      555.755      95.550
0.700      30.000      602.870      512.765      90.104
0.700      40.000      537.012      454.392      82.619
0.700      50.000      455.572      382.380      73.192
0.700      60.000      360.725      298.871      61.853
0.700      70.000      254.674      206.335      48.338
0.700      80.000      138.468      107.438      31.031
0.700      90.000      0.000      0.000      0.000
0.800      0.000      602.975      487.287      115.689
0.800      10.000      594.512      480.123      114.389
0.800      20.000      569.359      458.841      110.518
0.800      30.000      528.216      424.065      104.151
0.800      40.000      472.213      376.810      95.403
0.800      50.000      402.833      318.440      84.393
0.800      60.000      321.769      250.604      71.165
0.800      70.000      230.546      175.115      55.430
0.800      80.000      128.975      93.599      35.376
0.800      90.000      0.000      0.000      0.000
0.900      0.000      513.727      381.715      132.012
0.900      10.000      506.797      376.282      130.515
0.900      20.000      486.191      360.137      126.054
0.900      30.000      452.457      333.737      118.720
0.900      40.000      406.465      297.818      108.647
0.900      50.000      349.333      253.356      95.977
0.900      60.000      282.264      201.494      80.770
0.900      70.000      206.088      143.372      62.717
0.900      80.000      119.356      79.544      39.812
0.900      90.000      0.000      0.000      0.000
1.000      0.000      423.075      274.064      149.011
1.000      10.000      417.704      270.399      147.305
1.000      20.000      401.722      259.499      142.223
1.000      30.000      375.520      241.650      133.870
1.000      40.000      339.705      217.304      122.401
1.000      50.000      295.023      187.038      107.984
1.000      60.000      242.175      151.476      90.699
1.000      70.000      181.283      111.065      70.217
1.000      80.000      109.605      65.259      44.346
1.000      90.000      0.000      0.000      0.000
