,,clear,aerosol,net difference
Rs,sza,,,
0.4,90,0.000032,0.000032,0
0.4,70,297.173303,293.502331,-3.670972
0.4,50,568.066135,567.841929,-0.224206
0.4,30,770.163047,772.136754,1.973707
0.4,10,877.840306,880.690474,2.850168
0.3666666667,90,0.000032,0.000032,0
0.3666666667,70,306.928504,302.888113,-4.040391
0.3666666667,50,587.979034,587.373847,-0.605187
0.3666666667,30,797.750825,799.337924,1.587099
0.3666666667,10,909.533534,911.985218,2.451684
0.3333333333,90,0.000033,0.000033,0
0.3333333333,70,316.933487,312.506006,-4.427481
0.3333333333,50,608.39657,607.384434,-1.012136
0.3333333333,30,826.034905,827.203228,1.168323
0.3333333333,10,942.025439,944.042924,2.017485
0.3,90,0.000033,0.000033,0
0.3,70,326.600507,321.79109,-4.809417
0.3,50,628.119476,626.698496,-1.42098
0.3,30,853.354063,854.09627,0.742207
0.3,10,973.4077,974.981043,1.573343
